 n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              0,         0,           0,          0
 1,             0,               0,              0,         0,           0,          0
 2,             1,               1,             23,         1,           0,          8
 3,             3,               3,              7,         3,           0,         56
 4,             6,               6,             20,         4,           0,         12
 5,            10,              10,             15,         7,           0,         20
 6,            15,              15,             22,         9,           0,         11
 7,            21,              21,             30,        11,           0,         18
 8,            28,              28,             28,        12,           0,         20
 9,            36,              36,             48,        16,           0,         27
10,            45,              45,             77,        19,           0,         43
